,_month_,year,oil_companies_,quantity_000_metric_tonnes_
755,November,2023,"IOCL-PARADIP,ODISHA",1260.94
756,November,2023,BORL-BINA,682.46
757,November,2023,"HPCL-MUMBAI,MAHARASHTRA",858.19
758,November,2023,"HPCL-VISAKH,ANDHRA PRADESH",826.45
759,November,2023,HPCL-TOTAL,2759.06
760,November,2023,"RIL,JAMNAGAR,GUJARAT",2796.68
761,November,2023,RIL TOTAL,5013.47
762,November,2023,"NEL-VADINAR,GUJARAT",1674.60
763,December,2023,"IOCL-PARADIP,ODISHA",1387.38
764,December,2023,BPCL-TOTAL,3619.88
765,December,2023,"MRPL-MANGALORE,KARNATAKA",1558.25
766,December,2023,"HPCL-MUMBAI,MAHARASHTRA",842.76
767,December,2023,"RIL,JAMNAGAR,GUJARAT",2784.65
768,December,2023,RIL TOTAL,5278.44
769,December,2023,"NEL-VADINAR,GUJARAT",1729.72
770,January,2024,"IOCL-BARAUNI,BIHAR",517.57
771,January,2024,"IOCL-KOYALI, GUJARAT",1191.57
772,January,2024,"IOCL-GUWAHATI,ASSAM",95.74
773,January,2024,BPCL-TOTAL,3476.48
774,January,2024,"MRPL-MANGALORE,KARNATAKA",1527.48
775,February,2024,"IOCL-KOYALI, GUJARAT",1249.94
776,February,2024,"IOCL-PANIPAT, HARYANA",693.25
777,February,2024,"IOCL-GUWAHATI,ASSAM",99.02
778,February,2024,BPCL-TOTAL,3174.59
779,March,2024,"IOCL-HALDIA, WEST BENGAL",735.72
780,March,2024,"IOCL-GUWAHATI,ASSAM",113.51
781,March,2024,"CPCL-MANALI, TAMILNADU",1072.31
782,March,2024,"NRL-NUMALIGARH, ASSAM",285.78
783,March,2024,ONGC TOTAL,1527.62
784,March,2024,"HMEL-GGSR, BATHINDA, PUNJAB",1103.42
785,March,2024,"NEL-VADINAR,GUJARAT",1728.11
786,April,2022,"IOCL-HALDIA, WEST BENGAL",706.39
787,April,2022,"IOCL-PANIPAT, HARYANA",1172.27
788,April,2022,"NRL-NUMALIGARH, ASSAM",270.72
789,April,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.05
790,May,2022,"IOCL-HALDIA, WEST BENGAL",712.40
791,May,2022,"IOCL-BONGAIGAON,ASSAM",182.52
792,May,2022,"IOCL-PARADIP,ODISHA",1362.51
793,May,2022,"BPCL-KOCHI, KERALA",1431.85
794,May,2022,ONGC TOTAL,1421.98
795,May,2022,RIL TOTAL,5671.18
796,June,2022,"IOCL-HALDIA, WEST BENGAL",678.74
797,June,2022,"IOCL-BONGAIGAON,ASSAM",185.65
798,June,2022,"NRL-NUMALIGARH, ASSAM",240.56
799,June,2022,"HPCL-MUMBAI,MAHARASHTRA",851.69
800,June,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1078.48
801,July,2022,"IOCL-KOYALI, GUJARAT",1303.93
802,July,2022,"IOCL-DIGBOI,ASSAM",62.85
803,July,2022,"BPCL-MUMBAI, MAHARASHTRA",689.36
804,July,2022,BORL-BINA,586.53
805,July,2022,"MRPL-MANGALORE,KARNATAKA",1428.36
806,July,2022,HPCL-TOTAL,2669.81
807,July,2022,"NEL-VADINAR,GUJARAT",1734.80
808,August,2022,"IOCL-BONGAIGAON,ASSAM",248.88
809,August,2022,"HPCL-MUMBAI,MAHARASHTRA",766.90
810,August,2022,HPCL-TOTAL,2342.38
811,August,2022,"NEL-VADINAR,GUJARAT",1750.80
812,September,2022,"IOCL-DIGBOI,ASSAM",44.35
813,April,2023,"IOCL-PARADIP,ODISHA",1187.32
814,April,2023,"CPCL-MANALI, TAMILNADU",919.52
815,April,2023,"BPCL-KOCHI, KERALA",1384.56
816,April,2023,BORL-BINA,593.53
817,April,2023,"HPCL-MUMBAI,MAHARASHTRA",837.11
818,April,2023,"HPCL-VISAKH,ANDHRA PRADESH",844.74
819,April,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1073.10
820,April,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2514.05
821,April,2023,GRAND TOTAL,21450.62
822,May,2023,CPCL-TOTAL,941.28
823,May,2023,ONGC TOTAL,1500.53
824,May,2023,"RIL,JAMNAGAR,GUJARAT",2882.35
825,May,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2765.42
826,May,2023,"NEL-VADINAR,GUJARAT",1743.37
827,May,2023,GRAND TOTAL,22726.56
828,June,2023,"IOCL-GUWAHATI,ASSAM",92.45
829,June,2023,"IOCL-DIGBOI,ASSAM",62.73
830,June,2023,"HPCL-MUMBAI,MAHARASHTRA",809.85
831,June,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2254.06
832,June,2023,"NEL-VADINAR,GUJARAT",1583.26
833,July,2023,HPCL-TOTAL,3103.73
